DATE,cpercent
6/4/2002,0.004819277
6/5/2002,0.004796163
6/6/2002,-0.016706444
6/7/2002,0.006472492
6/10/2002,0.012861736
6/11/2002,-0.003968254
6/12/2002,0.016733068
6/13/2002,-0.014106583
6/14/2002,0.002384738
6/17/2002,0.007930214
6/18/2002,0.011014949
6/19/2002,-0.005447471
6/20/2002,-0.007824726
6/21/2002,-0.022082019
6/24/2002,0.000806452
6/25/2002,-0.012087027
6/26/2002,-0.001631321
6/27/2002,0.022875817
6/28/2002,-0.017571885
7/1/2002,0.035772358
7/2/2002,-0.01255887
7/3/2002,0.002384738
7/5/2002,0.030134814
7/8/2002,-0.005388761
7/9/2002,-0.009287926
7/10/2002,-0.03125
7/11/2002,-0.020967742
7/12/2002,-0.004118616
7/15/2002,-0.016542597
7/16/2002,-0.025231287
7/17/2002,0.013805004
7/18/2002,-0.006808511
7/19/2002,-0.066838046
7/22/2002,0.000918274
7/23/2002,0.025688073
7/24/2002,0.070661896
7/25/2002,0.002506266
7/26/2002,0.0075
7/29/2002,0.047973532
7/30/2002,-0.009471192
7/31/2002,0.002390438
8/1/2002,-0.029411765
8/2/2002,-0.018018018
8/5/2002,-0.026688907
8/6/2002,0.039417309
8/7/2002,0.020610058
8/8/2002,0.019386107
8/9/2002,0
8/12/2002,-0.004754358
8/13/2002,-0.012738854
8/14/2002,0.02016129
8/15/2002,0.002371542
8/16/2002,-0.001577287
8/19/2002,0.021327014
8/20/2002,-0.003093581
8/21/2002,-0.000775795
8/22/2002,-0.01242236
8/23/2002,-0.007075472
8/26/2002,0.007917656
8/27/2002,-0.003142184
8/28/2002,-0.014972419
8/29/2002,-0.0024
8/30/2002,0.002405774
9/3/2002,-0.04
9/4/2002,0.005833333
9/5/2002,0
9/6/2002,0.015741508
9/9/2002,0.01223491
9/10/2002,0.00886382
9/11/2002,-0.010383387
9/12/2002,-0.01291364
9/13/2002,-0.020441537
9/16/2002,-0.005843072
9/17/2002,-0.020151134
9/18/2002,0.014567266
9/19/2002,-0.010135135
9/20/2002,0.019624573
9/23/2002,-0.016736402
9/24/2002,-0.037446809
9/25/2002,0.001768347
9/26/2002,0.022065313
9/27/2002,-0.027633851
9/30/2002,-0.023090586
10/1/2002,0.057272727
10/2/2002,-0.015477214
10/3/2002,0.004366812
10/4/2002,-0.004347826
10/7/2002,-0.031441048
10/8/2002,0.026149684
10/9/2002,-0.013181019
10/10/2002,0.038290294
10/11/2002,0.034305317
10/14/2002,0.00331675
10/15/2002,0.03553719
10/16/2002,-0.015961692
10/17/2002,0.01459854
10/18/2002,0.001598721
10/21/2002,0.02952913
10/22/2002,-0.001550388
10/23/2002,0.004658385
10/24/2002,-0.028593509
10/25/2002,0.015910899
10/28/2002,-0.018010963
10/29/2002,0.003189793
10/30/2002,0.011923688
10/31/2002,-0.003142184
11/1/2002,0.009456265
11/4/2002,0.00156128
11/5/2002,0.003897116
11/6/2002,0.013198758
11/7/2002,-0.014559387
11/8/2002,-0.002332815
11/11/2002,-0.014809041
11/12/2002,0.011075949
11/13/2002,0.007042254
11/14/2002,0.01010101
11/15/2002,-0.003846154
11/18/2002,-0.015444015
11/19/2002,0.003921569
11/20/2002,0.00546875
11/21/2002,0.017871018
11/22/2002,-0.009923664
11/25/2002,-0.0077101
11/26/2002,-0.025641026
11/27/2002,0.033492823
11/29/2002,0.002314815
12/2/2002,-0.011547344
12/3/2002,-0.001557632
12/4/2002,-0.001560062
