R,ClPr,OPEN,pre_HIGH,pre_LOW,prev_VOLUME,2dayprice_change,SMA5,SMA10,SMA20
0,144.78,141.79,147.97,144.05,3596279,-5.45,148.094,150.854,153.1045
0,137.57,138.96,145.02,140.33,5128273,-2.54,147.476,149.858,152.4825
0,139.52,140.14,139.37,137.53,2805399,-7.98,145.244,148.225,151.5525
0,137.76,136.96,140.43,138.0832,2979077,-5.26,142.948,146.83,150.6435
0,136.96,136.95,138.67,136.15,3355469,0.19,141.036,145.262,149.709
0,138.39,140.1,137.75,134.6442,4136313,-2.56,139.318,143.706,148.718
0,138.69,138.3,140.8,137.41,3399796,0.63,138.04,142.758,147.8065
0,141.18,139.74,140.1,137.21,4683496,1.73,138.264,141.754,146.9645
0,138.72,140.89,142.44,138.86,3720400,2.79,138.596,140.772,146.3255
0,140.86,141.36,142.19,138.54,2598252,0.03,138.788,139.912,145.728
0,140.46,140.97,142.15,139.13,2363612,-0.32,139.568,139.443,145.1485
0,140.49,141.36,141.43,139.41,2775527,1.74,139.982,139.011,144.4345
0,140.97,142.52,142.5,140.22,2663879,-0.37,140.342,139.303,143.764
0,144.49,145.59,143.13,140.63,3553519,0.51,140.3,139.448,143.139
0,147.46,146.82,145.76,143.42,2997126,4,141.454,140.121,142.6915
0,146.82,148.05,147.5,145.61,2688082,6.49,142.774,141.171,142.4385
0,150.64,151.73,148.32,145.4,3277188,2.33,144.046,142.014,142.386
0,151.91,152.79,152.12,150.63,1607102,3.18,146.076,143.209,142.4815
0,152.89,152.2,153.7,151.7311,1553075,5.09,148.264,144.282,142.527
0,151.22,151.13,153.26,152,1824690,2.25,149.944,145.699,142.8055
0,151.19,150.82,151.77,150.27,1275184,-0.69,150.696,146.735,143.089
0,151.16,149.69,151.8,150.58,848403,-1.7,151.57,147.808,143.4095
0,148.97,148.12,151.58,149.52,2215346,-0.06,151.674,148.875,144.089
0,147.48,147.58,149.49,147.28,2528661,-2.22,151.086,149.675,144.5615
0,146.92,148.21,148.33,146.69,2284411,-3.68,150.004,149.974,145.0475
0,148.85,150.15,148.6,146.76,5717994,-2.05,149.144,149.92,145.5455
0,149.95,148.15,150.8596,148.83,3053902,1.37,148.676,150.123,146.0685
0,148.13,151.99,150.54,147.74,4773934,3.03,148.434,150.054,146.6315
0,157.63,155.29,153.02,147.08,8645905,-0.72,148.266,149.676,146.979
0,154.83,155.55,157.77,154.335,3461796,7.68,150.296,150.15,147.9245
0,157.52,155.73,156.4,154.42,2523192,6.7,151.878,150.511,148.623
0,156.05,156.17,158.69,155.585,2551233,-0.11,153.612,151.144,149.476
0,156.79,156.44,158.24,154.94,2660838,1.22,154.832,151.633,150.254
0,157.75,157.53,157.86,155.675,2350423,-0.73,156.564,152.415,151.045
0,158.22,154.79,158,156.81,2141675,1.7,156.588,153.442,151.708
0,154.38,156.56,158.39,154.57,2175780,1.43,157.266,154.572,152.246
0,155.7,156.88,156.9,153.71,2609503,-3.37,156.638,155.125,152.624
0,156.9,156.41,157.25,155.51,2034611,-2.52,156.568,155.7,152.877
0,156.58,158.1,157.67,156.17,2258862,2.52,156.59,156.577,153.1265
0,157.99,157.51,158.47,156.57,2934232,0.88,156.356,156.472,153.311
0,157.63,158.06,158.49,156.94,876130,1.09,156.31,156.788,153.6495
0,157.75,157.37,158.47,157.63,1184162,1.05,156.96,156.799,153.9715
0,158.65,158.9,158.34,156.89,2100625,-0.24,157.37,156.969,154.301
0,158.95,158.68,159.77,158.16,1430410,1.02,157.72,157.155,154.785
0,158.38,157.63,159.84,158.34,1891113,1.2,158.194,157.275,155.3585
0,157.39,156.18,158.51,156.71,1518046,-0.27,158.272,157.291,155.9315
0,157.03,158.36,157.5,156.08,2226895,-1.56,158.224,157.592,156.3585
0,158.21,155.61,158.5299,156.52,2392964,-1.35,158.08,157.725,156.7125
0,155.65,156,158.26,155.61,2394999,0.82,157.992,157.856,157.2165
0,156.3,157.78,156.92,155.6,2434419,-1.38,157.332,157.763,157.1175
0,159.05,157.86,158.29,156.16,2305645,-1.91,156.916,157.594,157.191
0,157.59,157.23,159.49,157.54,2527087,3.4,157.248,157.736,157.2675
0,157.47,158.67,157.64,156.43,1962870,1.29,157.36,157.72,157.3445
0,159.26,158.02,158.67,156.75,2420917,-1.58,157.212,157.602,157.3785
0,158.99,159.38,159.26,157.73,1859945,1.67,157.934,157.633,157.454
0,158.91,159,159.58,158.27,2023648,1.52,158.472,157.694,157.4925
0,158.75,159.48,159.48,158.61,2254169,-0.35,158.444,157.846,157.719
0,159.92,157.51,159.8,158.67,2972122,-0.24,158.676,158.018,157.8715
0,157.21,157.8,160.09,157.34,2701780,1.01,159.166,158.189,158.0225
0,157.61,157.75,158.68,157.21,2672128,-1.54,158.756,158.345,158.054
0,158.08,156.49,157.91,156.88,1484607,-2.31,158.48,158.476,158.035
0,156.73,156,158.33,156.2,2724680,0.87,158.314,158.379,158.0575
0,156.54,156.06,157,155.08,1970110,-0.88,157.91,158.293,158.0065
0,155.79,156.54,156.76,155.64,2136125,-1.54,157.234,158.2,157.901
0,156,151.34,157.19,154.5,2997423,-0.94,156.95,157.853,157.743
0,149.82,149.5,157.04,150.65,5111766,-0.54,156.628,157.554,157.624
0,149.11,147.45,151.39,148.9,3011800,-5.97,154.976,156.645,157.2455
0,148,147.97,149.67,147.13,2409281,-6.89,153.452,155.681,156.8495
0,148.7,149.77,148.42,147.23,2004235,-1.82,151.744,154.489,156.339
0,149.19,149.64,149.78,147.48,2490502,-0.41,150.326,153.638,155.9915
0,148.32,149,149.88,148.02,2589025,1.19,148.964,152.796,155.636
0,149.11,148.91,149.6624,148.18,2260312,-0.38,148.664,151.82,155.0995
0,150.06,150.26,150,148.73,2027618,-0.08,148.664,151.058,154.6755
0,149.9,149.56,150.56,149.54,1429298,1.74,149.076,150.41,154.305
0,149.48,146.65,150.65,149.3,2293990,0.79,149.316,149.821,153.837
0,147.54,146.74,149.56,146.59,2008766,-0.58,149.374,149.169,153.3615
0,145.79,145.99,148.54,146.1325,1957149,-2.36,149.218,148.941,152.793
0,146.32,144.3,146.64,145.4,2256802,-3.69,148.554,148.609,152.145
0,143.2,139.08,146.595,143.63,2987249,-1.22,147.806,148.441,151.465
0,140.8,142.21,143.3,138.57,3064411,-2.59,146.466,147.891,150.7645
0,141.77,142.52,142.5,139.58,2486292,-5.52,144.73,147.052,149.924
0,141.55,138.62,143.225,140.5,3453568,-1.43,143.576,146.397,149.1085
0,138.38,138.3,142.16,138.43,4945961,0.75,142.728,145.641,148.3495
0,139.56,139.62,139.7,138.3,3427488,-3.39,141.14,144.473,147.4415
0,137.58,136.63,140.12,138.57,3767165,-1.99,140.412,143.439,146.63
0,137.66,138.53,138.03,135.39,2690259,-0.8,139.768,142.249,145.709
0,138.02,138.27,138.9,136.86,2684501,-1.9,138.946,141.261,145.101
0,140.04,140.5,138.51,137.25,2775119,0.44,138.24,140.484,144.5465
0,139.62,141.17,141.08,139.35,2492937,2.38,138.572,139.856,144.1485
0,142.95,143.81,141.3,139.21,6526037,1.6,138.584,139.498,143.6945
0,144.2,143.51,145.55,142.52,2855145,2.91,139.658,139.713,143.3825
0,143.6,141.56,144.46,143.21,2060607,4.58,140.966,139.956,143.1765
0,140.81,141.52,143.84,141.04,2690814,0.65,142.082,140.161,142.901
0,141.26,140.61,141.58,140.03,2277158,-3.39,142.236,140.404,142.4385
0,140.78,141,141.33,139.77,2506009,-2.34,142.564,140.574,142.0065
0,140.86,144.86,141.91,140.15,2031210,-0.03,142.13,140.894,141.5715
0,143.43,142.05,145.35,140.57,2642784,-0.4,141.462,141.214,141.2375
0,139.84,139.94,143.55,141.52,2432857,2.65,141.428,141.755,141.1195
0,141.74,141.94,140.67,139.16,3195773,-1.02,141.234,141.735,140.7955
0,141.24,140.03,142.9,141.31,2606203,-1.69,141.33,141.947,140.7225
0,138.5,139.42,141.24,139.24,3312687,1.4,141.422,141.776,140.7445
0,142.14,143,140.49,137.94,3671245,-3.24,140.95,141.206,140.581
0,144.21,143.37,143.83,142.02,2514923,0.9,140.692,141.06,140.6105
0,143.9,143.76,144.32,142.8,2664554,5.71,141.566,141.4,140.902
0,142.72,140,144.95,141.33,4104567,1.76,141.998,141.664,141.119
0,137.64,141.86,142.79,138.53,4562006,-1.49,142.294,141.858,141.376
0,138.58,137.12,142.06,137.39,5435890,-6.26,142.122,141.536,141.375
0,142.09,143.52,142.09,134,7359428,-4.14,141.41,141.051,141.403
0,143.35,144.51,145.32,141.92,5442006,4.45,140.986,141.276,141.5055
0,145.87,146.2,144.87,143.34,3281679,4.77,140.876,141.437,141.692
0,148.31,148.63,147.55,145.28,2525241,3.78,141.506,141.9,141.838
0,149.24,147.43,148.92,147.88,1706387,4.96,143.64,142.881,142.0435
0,148.28,147.66,149.31,146.36,1648944,3.37,145.772,143.591,142.3255
0,147.4,148,148.51,147.32,1401860,-0.03,147.01,143.998,142.699
0,148.52,147.24,148.5595,147.082,1792788,-1.84,147.82,144.348,143.006
0,148.48,150,148.71,146.07,2054319,0.24,148.35,144.928,143.393
0,151.24,150,150,148.26,1810785,1.08,148.384,146.012,143.774
0,148.89,148.48,151.4,149.89,1571784,2.72,148.784,147.278,144.1645
0,149.26,150.89,150,148.1625,1669711,0.41,148.906,147.958,144.617
0,151.01,151.85,151.22,148.9,1764614,-1.98,149.278,148.549,144.993
0,150.4,150.93,153.24,150.92,1762361,2.12,149.776,149.063,145.4815
0,150.12,150.79,151.54,150.11,1811933,1.14,150.16,149.272,146.0765
0,151.34,152.53,151.78,148.9439,2355558,-0.89,149.936,149.36,146.4755
0,151.57,151,152.81,151.03,1619622,0.94,150.426,149.666,146.832
0,151.45,151.44,151.73,150.33,2120011,1.45,150.888,150.083,147.2155
0,151.11,148.85,151.69,150.71,2176889,0.11,150.976,150.376,147.652
0,148.71,148.64,151.72,148.325,3277739,-0.46,151.118,150.639,148.3255
0,149.33,148.86,149,147.7,3117558,-2.74,150.836,150.386,148.832
0,149.5,151.92,150.8,148.7,3433628,-1.78,150.434,150.43,149.194
0,155.41,155.59,153.69,149.02,5176373,0.79,150.02,150.454,149.5015
0,155.76,156.75,156.31,154.44,3067734,6.08,150.812,150.894,149.9785
0,157.12,156.77,157.1799,155.34,2743931,6.26,151.742,151.43,150.351
0,156.69,156.5,157.65,156.27,2349080,1.71,153.424,152.13,150.745
0,157.17,157.58,157.37,156.43,2428961,0.93,154.896,152.665,151.1655
0,156,156.57,157.94,156.69,2023869,0.05,156.43,153.225,151.654
0,156.78,156.49,157,155.9,1786207,-0.69,156.548,153.68,152.028
0,156.47,156.42,157.08,156.28,1812274,-0.39,156.752,154.247,152.443
0,154.95,154.74,156.77,155.65,2107208,0.47,156.622,155.023,152.7045
0,153.75,154.59,155.8598,154.5001,2061221,-1.83,156.274,155.585,153.0075
